 Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
 An Thượng 18,Mỹ An,ngũ hành sơn,4.1,60,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15,5,"16.04836,108.24055"
 Trường Chinh,Hòa An,cẩm lệ,3.3,90,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,18,2,"16.00735,108.19196"
 Ngô Quyền,An Hải Bắc,sơn trà,15,153,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6,27,3,"16.09631,108.24529"
 Tiên Sơn 10,Hòa Cường Nam,hải châu,6.5,90,Không,Nhà mặt tiền,Giấy tờ hợp lệ,14,7,1,"16.03438,108.22172"
 Hoàng Đức Lương,An Hải Bắc,sơn trà,11,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,5,"16.07525,108.23292"
 Tiên Sơn 8,Hòa Cường Nam,hải châu,7.2,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,3,"16.03654,108.22015"
 Huỳnh Tịnh Của,Xã Hòa Châu,hòa vang,2.9,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,2,"15.98954,108.20657"
 Huỳnh Thị Bảo Hòa,Hòa Khánh Nam,liên chiểu,3.5,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,2,"16.05185,108.17088"
 Lưu Nhân Chú,Khuê Trung,cẩm lệ,4.7,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,3,"16.02025,108.20802"
 Tôn Đức Thắng,Hòa Khánh Bắc,liên chiểu,25,313,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7,48,4,"16.07067,108.15084"
 Hóa Mỹ,Khuê Trung,cẩm lệ,4.7,80,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15,2,"16.03008,108.21299"
 Nguyễn Thuật,Hòa An,cẩm lệ,4.6,125,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,25,3,"16.0521,108.17708"
 Phước Lý 6,Hòa Minh,liên chiểu,3.5,105,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,2,"16.12865,108.1218"
 Hoà Minh 15,Hòa Minh,liên chiểu,5.2,75,Không,Nhà mặt tiền,Không có,5,15,3,"16.07962,108.16033"
 Lý Triện,An Khê,thanh khê,6.6,105,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,22,3,"16.05945,108.18524"
 Thanh Lương 8,Hòa Xuân,cẩm lệ,5.7,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,3,"16.00671,108.21899"
 Hóa Mỹ,Khuê Trung,cẩm lệ,4.7,80,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,14,2,"16.03008,108.21299"
 Văn Tiến Dũng,Hòa Xuân,cẩm lệ,6.7,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,3,"15.98825,108.21377"
 Phước Lý 5,Hòa Minh,liên chiểu,3.75,113,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,23,3,"16.05916,108.1629"
 Thích Quảng Đức,Hòa Minh,liên chiểu,6.9,150,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7,24,3,"16.05737,108.16324"
 Văn Tiến Dũng,Hòa Xuân,cẩm lệ,6.8,100,Không,Nhà mặt tiền,Không có,5,20,3,"15.98825,108.21377"
 Phạm Xuân Ẩn,Hòa Xuân,cẩm lệ,4.75,120,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,24,3,"16.018268,108.210969"
 Nguyễn Hồng Ánh,Xã Hòa Châu,hòa vang,6.4,95,Không,Nhà mặt tiền,Không có,5,19,3,"15.99754,108.20015"
 Lê Duẩn,Tân Chính,thanh khê,2.75,60,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,15,2,"16.06965,108.2106"
 Hoàng Văn Thái,Hòa Khánh Nam,liên chiểu,2.6,100,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5,20,2,"16.05849,108.15735"
 Hà Bổng,Phước Mỹ,sơn trà,3.8,50,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,12,3,"16.06664,108.24441"
 Ngô Chân Lưu,Hòa Minh,liên chiểu,3.35,70,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4,17.5,3,"16.06015,108.16681"
 Đồng Kè,Hòa Khánh Bắc,liên chiểu,2.55,80,Không,Nhà trong hẻm,Không có,5,16,2,"16.07284,108.14639"
 Trường Chinh,Hòa Phát,cẩm lệ,1.75,70,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,16,1,"16.00735,108.19196"
 Tô Hiệu,Hòa Minh,liên chiểu,3.69,85,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5,16,3,"16.06424,108.16672"
 Trưng Nữ Vương,Hòa Thuận Tây,hải châu,5.95,13,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.8,23,3,"16.05375,108.21903"
 Trưng Nữ Vương,Hòa Thuận Tây,hải châu,6,150,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6,25,3,"16.05375,108.21903"
 Võ Duy Ninh,Thọ Quang,sơn trà,2.8,70,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6,12,1,"16.09291,108.24852"
 Thái Thị Bôi,Chính Gián,thanh khê,2.55,65,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,15,2,"16.06831,108.1972"
 Trần Cao Vân,Xuân Hà,thanh khê,3.2,70,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5,13,2,"16.0738,108.20758"
 Tôn Đản,Hòa An,cẩm lệ,2.15,60,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,15,2,"16.04509,108.18114"
 Trưng Nữ Vương,Hòa Thuận Tây,hải châu,3.65,80,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,18,1,"16.05375,108.21903"
 Trường Chinh,Hòa An,cẩm lệ,1.65,55,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,14,1,"16.00735,108.19196"
 Ngô Quyền,Thọ Quang,sơn trà,2.7,120,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5,24,2,"16.09631,108.24529"
 Đồng Kè,Hòa Khánh Bắc,liên chiểu,3.15,100,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,22,2,"16.07284,108.14639"
 Nguyễn Như Đỗ,Hòa Thọ Tây,cẩm lệ,1.85,120,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5,24,1,"15.99988736,108.18635632"
 Tô Hiệu,Hòa Minh,liên chiểu,3.69,70,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,16,2,"16.06424,108.16672"
 Tôn Đản,Hòa Phát,cẩm lệ,3.65,90,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5,18,3,"16.04509,108.18114"
 Ngô Quyền,An Hải Bắc,sơn trà,2.83,110,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5,22,2,"16.09631,108.24529"
 Trần Cao Vân,Tam Thuận,thanh khê,1.49,36,Tây,Nhà trong hẻm,Giấy tờ hợp lệ,4.1,,,"16.0738,108.20758"
 Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,5.35,125,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,25,2,"16.0215783,108.21282"
 Lỗ Giáng 6,Hòa Xuân,cẩm lệ,3.9,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,2,"16.00055,108.21451"
 Phan Văn Trị,Khuê Trung,cẩm lệ,6.35,110,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.5,20,3,"16.01724,108.20838"
 Trần Văn Cẩn,Hòa Xuân,cẩm lệ,3.96,150,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,30,3,"16.00085,108.21368"
 Đặng Văn Ngữ,Khuê Trung,cẩm lệ,5.8,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,2,"16.0137,108.20659"
 Bình Hòa 4,Khuê Trung,cẩm lệ,8.5,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,4,"16.02489905,108.21239205"
 Phạm Hùng,Hòa Xuân,cẩm lệ,6,110,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,22,1,"16.00192,108.207"
 Bình Hòa 14,Khuê Trung,cẩm lệ,4.15,80,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,16,3,"16.02302,108.21231"
 Nguyễn Khoa Chiêm,Hòa Thọ Đông,cẩm lệ,4.9,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,3,"16.0212,108.19683"
 Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,7.5,75,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.7,13,2,"16.0215783,108.21282"
 Hoàng Đạo Thúy,Hòa Thọ Đông,cẩm lệ,5,120,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,24,3,"16.02004,108.19732"
