Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
 Hà Mục,Hòa Thọ Đông,cẩm lệ,5.15,100,Tây Nam,Nhà mặt tiền,Không có,5,20,4,"16.01918,108.19537"
 Thi Sách,Hòa Thuận Tây,hải châu,4.1,85,Không,Nhà mặt tiền,Không có,,,1,"16.0546,108.20547"
 Ông Ích Khiêm,Tam Thuận,thanh khê,11,67,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,3.8,,3,"16.06653,108.2142"
 Núi Thành,Hòa Cường Bắc,hải châu,17.5,137,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,7.3,,3,"16.03194,108.22279"
 Trương Văn Hiến,Khuê Mỹ,ngũ hành sơn,7,90,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,18,4,"16.01947,108.25592"
 Nguyễn Văn Thoại,An Hải Đông,sơn trà,26,154,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7,,2,"16.05747,108.24433"
 Hóa Quê Trung,Hòa Cường Bắc,hải châu,5.4,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.2,19,2,"16.04329,108.21986"
 Khuê Mỹ Đông 15,Mỹ An,ngũ hành sơn,13.5,110,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6,,6,"16.03874,108.24676"
 Dương Vân Nga,Nại Hiên Đông,sơn trà,14.4,130,Không,Nhà mặt tiền,Giấy tờ hợp lệ,20,,6,"16.09172,108.23162"
 Lê Thanh Nghị,Hòa Cường Bắc,hải châu,15.75,120,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5,,1,"16.03029,108.21903"
 Cao Bá Quát,An Hải Bắc,sơn trà,11.5,115,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.1,,3,"16.06433,108.23061"
 Hoàng Thúc Trâm,Hải Châu I,hải châu,7.7,90,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.04274,108.21396"
 Chính Hữu,Phước Mỹ,sơn trà,10.5,140,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5,28,1,"16.10449,108.26139"
 Châu Thị Vĩnh Tế,Mỹ An,ngũ hành sơn,12.5,100,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,1,"16.04978,108.24072"
 Tân Phú 1,Mân Thái,sơn trà,6.1,90,Không,Nhà mặt tiền,Không có,,,,"16.08457,108.24599"
 Thanh Vinh,Hòa Khánh Bắc,liên chiểu,2.42,175,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7,25,1,"16.07863,108.12345"
 Phan Văn Định,Hòa Khánh Bắc,liên chiểu,14,353,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,8.9,,1,"16.08926,108.14696"
 Dương Khuê,Mỹ An,ngũ hành sơn,12,99,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,5,"15.98459,108.23607"
 An Thượng 38,Mỹ An,ngũ hành sơn,8.5,60,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,12,4,"16.04689,108.24197"
 Tiểu La,Hòa Cường Bắc,hải châu,3.35,53,Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,,,2,"16.04649,108.22182"
 Hà Huy Tập,Hòa Khê,thanh khê,25,310,Không,Nhà mặt tiền,Không có,10,23,2,"16.0704,108.19171"
