Address,Prices,Area,toFace,type,certificate,width,length,floors
" Đường Hà Mục, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 5,15 tỷ ", 100 m2,Tây Nam,Nhà mặt tiền,---,5m,20m,4
" Đường Thi Sách, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 4,1 tỷ ", 85 m2,_,Nhà mặt tiền,---,---,---,1
" Đường Ông Ích Khiêm, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng", 11 tỷ , 67 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"3,8m",---,3
" Đường Núi Thành, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 17,5 tỷ ", 137 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,3m",---,3
" Đường Trương Văn Hiến, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng", 7 tỷ , 90 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,4
" Đường Nguyễn Văn Thoại, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng", 26 tỷ , 154 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,---,2
" Đường Hóa Quê Trung, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 5,4 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,2m",19m,2
" Đường Khuê Mỹ Đông 15, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 13,5 tỷ ", 110 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,---,6
" Đường Dương Vân Nga, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 14,4 tỷ ", 130 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,20m,---,6
" Đường Lê Thanh Nghị, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 15,75 tỷ ", 120 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,1
" Đường Cao Bá Quát, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 11,5 tỷ ", 115 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,1m",---,3
" Đường Hoàng Thúc Trâm, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng"," 7,7 tỷ ", 90 m2,_,Nhà mặt tiền,Giấy tờ hợp lệ,5m,---,3
