Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors
 Hà Mục,Hòa Thọ Đông,cẩm lệ,5.15,100.0,Tây Nam,True,False,5.0,20.0,4
 Thi Sách,Hòa Thuận Tây,hải châu,4.1,85.0,Không,True,False,42.5,42.5,1
 Ông Ích Khiêm,Tam Thuận,thanh khê,11.0,67.0,Tây,True,True,3.8,17.63157894736842,3
 Núi Thành,Hòa Cường Bắc,hải châu,17.5,137.0,Tây,True,True,7.3,18.767123287671232,3
 Trương Văn Hiến,Khuê Mỹ,ngũ hành sơn,7.0,90.0,Đông Nam,True,True,5.0,18.0,4
 Nguyễn Văn Thoại,An Hải Đông,sơn trà,26.0,154.0,Không,True,True,7.0,22.0,2
 Hóa Quê Trung,Hòa Cường Bắc,hải châu,5.4,100.0,Không,True,True,5.2,19.0,2
 Khuê Mỹ Đông 15,Mỹ An,ngũ hành sơn,13.5,110.0,Không,True,True,6.0,18.333333333333332,6
 Dương Vân Nga,Nại Hiên Đông,sơn trà,14.4,130.0,Không,True,True,20.0,6.5,6
 Lê Thanh Nghị,Hòa Cường Bắc,hải châu,15.75,120.0,Đông,True,True,5.0,24.0,1
 Cao Bá Quát,An Hải Bắc,sơn trà,11.5,115.0,Không,True,True,7.1,16.19718309859155,3
 Hoàng Thúc Trâm,Hải Châu I,hải châu,7.7,90.0,Không,True,True,5.0,18.0,3
 Chính Hữu,Phước Mỹ,sơn trà,10.5,140.0,Đông,True,True,5.0,28.0,1
 Châu Thị Vĩnh Tế,Mỹ An,ngũ hành sơn,12.5,100.0,Đông,True,True,5.0,20.0,1
 Tân Phú 1,Mân Thái,sơn trà,6.1,90.0,Không,True,False,45.0,45.0,2
 Thanh Vinh,Hòa Khánh Bắc,liên chiểu,2.42,175.0,Không,True,True,7.0,25.0,1
 Phan Văn Định,Hòa Khánh Bắc,liên chiểu,14.0,353.0,Đông Nam,True,True,8.9,39.662921348314605,1
 Dương Khuê,Mỹ An,ngũ hành sơn,12.0,99.0,Tây Bắc,True,True,5.0,20.0,5
 An Thượng 38,Mỹ An,ngũ hành sơn,8.5,60.0,Tây Nam,True,True,5.0,12.0,4
 Tiểu La,Hòa Cường Bắc,hải châu,3.35,53.0,Bắc,False,True,26.5,26.5,2
 Hà Huy Tập,Hòa Khê,thanh khê,25.0,310.0,Không,True,False,10.0,23.0,2
 Nguyễn Phan Vinh,Thọ Quang,sơn trà,2.3,90.0,Không,False,False,5.0,18.0,2
 Mai Lão Bạng,Thuận Phước,hải châu,3.7,60.0,Không,False,True,5.0,12.0,2
 Nước Mặn 1,Khuê Mỹ,ngũ hành sơn,14.5,185.0,Đông Nam,True,True,10.0,18.5,4
 Ngô Chi Lan,Thuận Phước,hải châu,3.2,61.0,Bắc,True,True,3.5,20.0,2
 Chế Lan Viên,Mỹ An,ngũ hành sơn,6.7,93.0,Không,False,False,46.5,46.5,2
 14 An Hoà 1,Khuê Trung,cẩm lệ,6.35,103.0,Đông Bắc,True,True,5.0,20.5,3
 Đống Đa,Thuận Phước,hải châu,4.5,65.0,Tây Nam,False,True,32.5,32.5,2
 Phan Thanh,Thạc Gián,thanh khê,3.2,50.0,Bắc,False,True,25.0,25.0,3
 Bình An 7,Hòa Cường Bắc,hải châu,3.05,6.0,Đông,False,True,3.0,3.0,2
 Nguyễn Lương Bằng,Hòa Hiệp Nam,liên chiểu,3.35,60.0,Không,True,True,6.0,10.0,2
 Dũng Sĩ Thanh Khê,Thanh Khê Đông,thanh khê,2.5,60.0,Không,False,False,30.0,30.0,2
 Dương Thị Xuân Quý,Mỹ An,ngũ hành sơn,6.3,98.0,Không,False,True,4.0,25.0,1
 Lê Độ,Chính Gián,thanh khê,3.2,73.0,Nam,False,True,7.0,11.0,2
 Hùng Vương,Vĩnh Trung,thanh khê,4.1,43.0,Không,False,True,4.0,11.0,5
 Hải Phòng,Tân Chính,thanh khê,3.2,46.0,Đông,False,True,3.5,14.0,3
 Lê Hữu Trác,An Hải Đông,sơn trà,5.1,80.0,Đông Bắc,False,True,4.0,21.5,3
 Hoàng Văn Thái,Hòa Khánh Nam,liên chiểu,2.35,115.0,Không,False,True,6.0,19.0,2
 Dương Quảng Hàm,Khuê Trung,cẩm lệ,5.4,80.0,Không,True,True,5.0,17.0,3
 Quách Thị Trang,Hòa Xuân,cẩm lệ,4.8,100.0,Tây Nam,True,True,5.0,20.0,3
 305 Yên Khê,Thanh Khê Đông,thanh khê,3.9,4.0,Không,True,True,5.0,8.5,3
 536.25.10 Điện Biên Phủ,Thanh Khê Đông,thanh khê,2.4,61.0,Không,False,True,4.3,15.0,2
 Võ Chí Công,Hòa Quý,ngũ hành sơn,3.1,100.0,Không,True,True,5.0,20.0,2
 24 An Trung 1,An Hải Tây,sơn trà,6.9,98.0,Đông,True,True,5.0,20.0,1
 Ngô Quyền,An Hải Đông,sơn trà,12.9,100.0,Không,True,True,9.0,11.11111111111111,2
 Nguyễn Tri Phương,Hòa Thuận Tây,hải châu,9.5,115.0,Đông Bắc,True,True,4.0,28.6,3
 Hoài Thanh,Mỹ An,ngũ hành sơn,17.5,130.0,Không,True,True,10.0,13.0,7
 Hoài Thanh,Mỹ An,ngũ hành sơn,18.0,130.0,Không,True,True,10.0,13.0,7
 Nguyễn Văn Thoại,An Hải Đông,sơn trà,24.9,114.0,Không,True,True,6.5,19.5,3
 Phần Lăng 9,Hòa Khê,thanh khê,3.9,81.0,Tây Nam,True,True,4.5,18.0,1
 Nguyễn Trung Trực,Nại Hiên Đông,sơn trà,7.5,100.0,Không,True,False,7.0,16.0,1
 Cao Bá Quát,An Hải Tây,sơn trà,5.1,64.0,Không,True,False,4.4,14.5,1
 Nguyễn Phan Vinh,Thọ Quang,sơn trà,3.7,81.0,Tây Nam,False,True,5.0,16.0,3
 Hoài Thanh,Mỹ An,ngũ hành sơn,17.9,130.0,Không,True,True,10.0,13.5,7
 Dương Quảng Hàm,Hòa Cường Nam,hải châu,5.5,74.0,Đông,True,True,4.5,16.7,3
 Hoà Minh 21,Hòa Minh,liên chiểu,4.6,7.0,Không,True,False,5.0,1.4,3
 Phạm Như Xương,Hòa Khánh Nam,liên chiểu,3.75,114.0,Không,True,False,8.0,14.25,1
 Lưu Trọng Lư,Hòa Cường Bắc,hải châu,5.9,70.0,Không,True,False,5.0,14.0,4
 Thái Thị Bôi,Chính Gián,thanh khê,3.75,50.0,Không,False,True,5.0,10.0,3
 Nguyễn Thị Minh Khai,Thạch Thang,hải châu,16.8,60.0,Không,True,True,30.0,30.0,4
 Phạm Phú Thứ,Hải Châu I,hải châu,15.0,58.0,Không,True,False,4.7,12.5,4
 Phạm Tu,Phước Mỹ,sơn trà,5.2,56.0,Không,True,False,4.0,16.0,3
 Mỹ Đa Đông 5,Mỹ An,ngũ hành sơn,7.2,68.0,Không,True,False,4.0,17.0,5
 Trần Bình Trọng,Hải Châu I,hải châu,17.5,110.0,Không,True,False,6.2,17.0,4
 Bùi Viện,Hòa Cường Nam,hải châu,11.0,88.0,Không,True,False,5.0,17.5,5
 Phùng Chí Kiên,Hòa Minh,liên chiểu,4.5,90.0,Tây Bắc,True,True,5.0,18.0,3
 Trần Lê,Hòa Xuân,cẩm lệ,9.0,100.0,Không,True,True,5.0,20.0,3
 Đa Phước 4,Khuê Mỹ,ngũ hành sơn,28.5,89.0,Tây Bắc,True,True,15.0,19.3,3
 278 Trần Cao Vân,Tam Thuận,thanh khê,1.5,36.0,Tây,True,True,3.0,12.0,1
 376 Trần Cao Vân,Thanh Khê Đông,thanh khê,3.3,57.0,Tây,False,True,5.0,12.0,3
 Tống Duy Tân,Hòa Minh,liên chiểu,2.75,65.0,Đông,False,True,4.0,16.25,2
 141 Tiểu La,Hòa Cường Bắc,hải châu,5.3,95.0,Đông,False,True,7.0,13.5,3
 Hoàng Minh Thảo,Hòa Khánh Nam,liên chiểu,4.29,107.0,Đông Bắc,False,True,10.0,13.0,3
 Bình Kỳ,Hòa Quý,ngũ hành sơn,3.75,50.0,Không,True,True,7.0,36.0,1
 Dũng Sĩ Thanh Khê,Thanh Khê Đông,thanh khê,2.5,60.0,Không,False,True,4.0,15.0,2
 Trưng Nữ Vương,Hòa Thuận Tây,hải châu,1.95,60.0,Không,False,True,7.0,8.571428571428571,1
 Lê Duẩn,Tân Chính,hải châu,3.15,60.0,Không,False,True,4.0,15.0,2
 Dương Vân Nga,Nại Hiên Đông,sơn trà,15.0,150.0,Không,True,True,21.0,7.142857142857143,6
 Ngô Thì Sĩ,Mỹ An,ngũ hành sơn,15.799,106.0,Không,True,True,5.0,21.2,4
 Trường Thi 4 Nguyễn Văn Linh,Hòa Thuận Tây,hải châu,6.2,90.0,Không,True,False,5.0,18.0,3
 Đinh Núp,An Khê,thanh khê,5.2,81.0,Không,True,False,4.5,18.0,3
 Lê Thanh Nghị,Hòa Cường Nam,hải châu,12.5,70.0,Không,True,False,5.0,14.0,4
 Phạm Nhữ Tăng,Hòa Khê,thanh khê,5.7,75.0,Không,True,False,4.87,15.5,3
 Sơn Thủy 2,Hòa Hải,ngũ hành sơn,5.0,115.0,Tây Nam,True,True,5.0,23.0,2
 Điện Biên Phủ,Chính Gián,thanh khê,3.6,40.0,Không,False,False,20.0,20.0,3
 Đỗ Bá,Mỹ An,ngũ hành sơn,12.5,71.0,Tây Bắc,True,True,11.0,6.454545454545454,2
 Hùng Vương,Hải Châu II,hải châu,11.0,69.0,Đông Nam,True,True,3.65,18.5,1
 Ngô Thì Hương,Nại Hiên Đông,sơn trà,5.5,100.0,Không,True,True,5.0,20.0,3
 Nguyễn Công Trứ,Phước Mỹ,sơn trà,9.99,111.0,Tây Nam,True,True,4.5,25.0,1
 Trương Định,Nại Hiên Đông,sơn trà,7.7,96.0,Không,True,True,13.0,15.0,3
 Lâm Hoành,Phước Mỹ,sơn trà,3.8,70.0,Không,False,True,4.0,17.0,3
 Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,17.0,125.0,Không,True,False,5.0,25.0,4
 Nguyễn Tất Thành,Tam Thuận,thanh khê,3.85,50.0,Tây Nam,False,True,4.0,13.0,3
 Ngô Chi Lan,Thuận Phước,hải châu,3.2,61.0,Không,True,True,3.5,20.0,2
 Hải Phòng,Tân Chính,thanh khê,3.2,46.0,Đông,False,True,4.0,12.0,3
 Nguyễn Phan Vinh,Thọ Quang,sơn trà,3.3,109.0,Không,False,True,54.5,54.5,1
 An Trung,An Hải Tây,sơn trà,3.9,55.0,Không,True,True,27.5,27.5,2
 Phạm Hùng,Xã Hòa Châu,huyện hòa vang,6.95,107.0,Đông,True,True,5.0,21.5,2
