,Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location,Latitude,Longitude,DistanceToCenter,DistanceToBeach
0, Hà Mục,Hòa Thọ Đông,cẩm lệ,5.15,100.0,Tây Nam,Nhà mặt tiền,Không có,5.0,20.0,4.0,"16.01918,108.19537",16.01918,108.19537,5.75091612853228,7.862719981479799
1, Thi Sách,Hòa Thuận Tây,hải châu,4.1,85.0,Không,Nhà mặt tiền,Không có,,,1.0,"16.0546,108.20547",16.0546,108.20547,2.3891821181548996,4.683769927290528
2, Ông Ích Khiêm,Tam Thuận,thanh khê,11.0,67.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,3.8,,3.0,"16.06653,108.2142",16.06653,108.2142,1.4651444628347334,3.4352861094851597
3, Núi Thành,Hòa Cường Bắc,hải châu,17.5,137.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,7.3,,3.0,"16.03194,108.22279",16.03194,108.22279,3.2811165281246937,4.94885968841344
4, Trương Văn Hiến,Khuê Mỹ,ngũ hành sơn,7.0,90.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,4.0,"16.01947,108.25592",16.01947,108.25592,5.590677864942545,5.759549628542561
6, Hóa Quê Trung,Hòa Cường Bắc,hải châu,5.4,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.2,19.0,2.0,"16.04329,108.21986",16.04329,108.21986,2.1235564096813477,4.117276808147054
7, Khuê Mỹ Đông 15,Mỹ An,ngũ hành sơn,13.5,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,,6.0,"16.03874,108.24676",16.03874,108.24676,3.28825586071642,3.521114851062119
8, Dương Vân Nga,Nại Hiên Đông,sơn trà,14.4,130.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,20.0,,6.0,"16.09172,108.23162",16.09172,108.23162,3.4331728893780156,2.8308425229674916
9, Lê Thanh Nghị,Hòa Cường Bắc,hải châu,15.75,120.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,1.0,"16.03029,108.21903",16.03029,108.21903,3.5347103066850187,5.315790252705184
10, Cao Bá Quát,An Hải Bắc,sơn trà,11.5,115.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.1,,3.0,"16.06433,108.23061",16.06433,108.23061,0.5401947499821087,1.787127074397831
11, Hoàng Thúc Trâm,Hải Châu I,hải châu,7.7,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3.0,"16.04274,108.21396",16.04274,108.21396,2.466052216971273,4.610386690465649
12, Chính Hữu,Phước Mỹ,sơn trà,10.5,140.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,28.0,1.0,"16.10449,108.26139",16.10449,108.26139,6.072157848186179,4.127712571542272
13, Châu Thị Vĩnh Tế,Mỹ An,ngũ hành sơn,12.5,100.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,1.0,"16.04978,108.24072",16.04978,108.24072,1.9607669203305556,2.3637532744176406
15, Tân Phú 1,Mân Thái,sơn trà,6.1,90.0,Không,Nhà mặt tiền,Không có,,,,"16.08457,108.24599",16.08457,108.24599,3.3133864678821716,1.5756707494787194
16, Thanh Vinh,Hòa Khánh Bắc,liên chiểu,2.42,175.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,25.0,1.0,"16.07863,108.12345",16.07863,108.12345,11.205657930739479,13.136628224879965
17, Phan Văn Định,Hòa Khánh Bắc,liên chiểu,14.0,279.3999628710352,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,8.9,,1.0,"16.08926,108.14696",16.08926,108.14696,9.077898564541815,10.798452017578748
18, Dương Khuê,Mỹ An,ngũ hành sơn,12.0,99.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,5.0,"15.98459,108.23607",15.98459,108.23607,8.577117482593788,9.601721762965882
19, An Thượng 38,Mỹ An,ngũ hành sơn,8.5,60.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,12.0,4.0,"16.04689,108.24197",16.04689,108.24197,2.2756972096442247,2.651219791776307
20, Tiểu La,Hòa Cường Bắc,hải châu,3.35,53.0,Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,,,2.0,"16.04649,108.22182",16.04649,108.22182,1.718670265795475,3.715051426881821
21, Hà Huy Tập,Hòa Khê,thanh khê,25.0,279.3999628710352,Không,Nhà mặt tiền,Không có,10.0,23.0,2.0,"16.0704,108.19171",16.0704,108.19171,3.880493121862202,5.811401932996704
22, Nguyễn Phan Vinh,Thọ Quang,sơn trà,2.3,90.0,Không,Nhà trong hẻm,Không có,5.0,18.0,2.0,"16.10053,108.25114",16.10053,108.25114,5.090757575059078,3.3933152456996867
23, Mai Lão Bạng,Thuận Phước,hải châu,3.7,60.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,12.0,2.0,"16.08414,108.21865",16.08414,108.21865,2.693169424205802,3.3069645550218314
24, Nước Mặn 1,Khuê Mỹ,ngũ hành sơn,14.5,185.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,18.5,4.0,"16.02157,108.25084",16.02157,108.25084,5.104084538550288,5.4531936702504575
25, Ngô Chi Lan,Thuận Phước,hải châu,3.2,61.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,3.5,20.0,,"16.06903,108.21546",16.06903,108.21546,1.4869206602559712,3.277239164583838
26, Chế Lan Viên,Mỹ An,ngũ hành sơn,6.7,93.0,Không,Nhà trong hẻm,Không có,,,,"16.04228,108.24575",16.04228,108.24575,2.9244429323403347,3.127002536786122
27, 14 An Hoà 1,Khuê Trung,cẩm lệ,6.35,103.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.5,3.0,"16.0188,108.21054",16.0188,108.21054,5.022826743257419,6.881835984511548
28, Đống Đa,Thuận Phước,hải châu,4.5,65.0,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,,,2.0,"16.07503,108.21489",16.07503,108.21489,1.9920087704449614,3.374286278280677
29, Phan Thanh,Thạc Gián,thanh khê,3.2,50.0,Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,,,3.0,"16.06302,108.20878",16.06302,108.20878,1.9303116166169678,4.071418646074829
30, Bình An 7,Hòa Cường Bắc,hải châu,3.05,6.0,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,,,2.0,"16.03699,108.21576",16.03699,108.21576,2.937207659363021,4.930892532447074
31, Nguyễn Lương Bằng,Hòa Hiệp Nam,liên chiểu,3.35,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,10.0,2.0,"16.08075,108.14674",16.08075,108.14674,8.81996841850772,10.678099453989041
32, Phước Trường 14,Phước Mỹ,sơn trà,40.0,,Không,Nhà mặt tiền,Giấy tờ hợp lệ,17.0,12.0,8.0,"16.07743,108.24177",16.07743,108.24177,2.4151632084308665,0.9085354680654512
33, Dũng Sĩ Thanh Khê,Thanh Khê Đông,thanh khê,2.5,60.0,Không,Nhà trong hẻm,Không có,,,2.0,"16.07597,108.17332",16.07597,108.17332,5.940162347589998,7.801358066701601
35, Dương Thị Xuân Quý,Mỹ An,ngũ hành sơn,6.3,98.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,25.0,1.0,"16.04244,108.24356",16.04244,108.24356,2.7535442739866034,3.1207817964308138
36, Lê Độ,Chính Gián,thanh khê,3.2,73.0,Nam,Nhà trong hẻm,Giấy tờ hợp lệ,7.0,11.0,2.0,"16.07062,108.20136",16.07062,108.20136,2.907165185345611,4.780235696298171
37, Hùng Vương,Vĩnh Trung,thanh khê,4.1,43.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,11.0,5.0,"16.06689,108.21214",16.06689,108.21214,1.6834818565422482,3.649255439553969
38, Hải Phòng,Tân Chính,thanh khê,3.2,46.0,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,3.5,14.0,3.0,"16.07085,108.20893",16.07085,108.20893,2.184843794338947,3.9718104063037174
39, Lê Hữu Trác,An Hải Đông,sơn trà,5.1,80.0,Đông Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,21.5,3.0,"16.05862,108.23956",16.05862,108.23956,1.399554770731786,1.4844338058625057
40, Hoàng Văn Thái,Hòa Khánh Nam,liên chiểu,2.35,115.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,19.0,2.0,"16.05849,108.15735",16.05849,108.15735,7.4213967519703,9.575351494739396
41, Dương Quảng Hàm,Khuê Trung,cẩm lệ,5.4,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,3.0,"16.03387,108.21396",16.03387,108.21396,3.3321882930223565,5.319330872404968
42, Quách Thị Trang,Hòa Xuân,cẩm lệ,4.8,100.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3.0,"15.99703,108.2133",15.99703,108.2133,7.278840908155247,8.879405262795428
43, 305 Yên Khê,Thanh Khê Đông,thanh khê,3.9,4.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,8.5,3.0,"16.05781364,108.15126038",16.057814,108.15126,8.07464293788157,10.230089215489835
44, 536.25.10 Điện Biên Phủ,Thanh Khê Đông,thanh khê,2.4,61.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.3,15.0,2.0,"16.06533,108.20615",16.06533,108.20615,2.24828653863964,4.3061564399354335
45, Võ Chí Công,Hòa Quý,ngũ hành sơn,3.1,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,2.0,"15.9913,108.23725",15.9913,108.23725,7.853597309279786,8.846251580119985
46, 24 An Trung 1,An Hải Tây,sơn trà,6.9,98.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,1.0,"16.05614,108.23502",16.05614,108.23502,1.0485955000185365,1.9785746040532084
47, Ngô Quyền,An Hải Đông,sơn trà,12.9,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,9.0,,2.0,"16.09631,108.24529",16.09631,108.24529,4.37794592535801,2.882313946681588
48, Nguyễn Tri Phương,Hòa Thuận Tây,hải châu,9.5,115.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,28.6,3.0,"16.05232,108.21081",16.05232,108.21081,1.9685994518112204,4.273516686768403
49, Hoài Thanh,Mỹ An,ngũ hành sơn,17.5,130.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,13.0,7.0,"16.04427,108.23848",16.04427,108.23848,2.2623042638227444,3.0175182842942223
50, Hoài Thanh,Mỹ An,ngũ hành sơn,18.0,130.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,13.0,7.0,"16.04427,108.23848",16.04427,108.23848,2.2623042638227444,3.0175182842942223
51, Nguyễn Văn Thoại,An Hải Đông,sơn trà,24.9,114.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.5,19.5,3.0,"16.05747,108.24433",16.05747,108.24433,1.9245961597500687,1.450082280095792
52, Phần Lăng 9,Hòa Khê,thanh khê,3.9,81.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,18.0,1.0,"16.05747,108.18768",16.05747,108.18768,4.194462294168478,6.405462967326643
53, Nguyễn Trung Trực,Nại Hiên Đông,sơn trà,7.5,100.0,Không,Nhà mặt tiền,Không có,7.0,16.0,1.0,"16.08582,108.22967",16.08582,108.22967,2.7549696959947974,2.454019698723597
54, Cao Bá Quát,An Hải Tây,sơn trà,5.1,64.0,Không,Nhà mặt tiền,Không có,4.4,14.5,1.0,"16.06433,108.23061",16.06433,108.23061,0.5401947499821087,1.787127074397831
55, Nguyễn Phan Vinh,Thọ Quang,sơn trà,3.7,81.0,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,16.0,3.0,"16.10053,108.25114",16.10053,108.25114,5.090757575059078,3.3933152456996867
56, Hoài Thanh,Mỹ An,ngũ hành sơn,17.9,130.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,13.5,7.0,"16.04427,108.23848",16.04427,108.23848,2.2623042638227444,3.0175182842942223
57, Dương Quảng Hàm,Hòa Cường Nam,hải châu,5.5,74.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,16.7,3.0,"16.07505,108.22114",16.07505,108.22114,1.6521668709369912,2.7168143448193423
58, Hoà Minh 21,Hòa Minh,liên chiểu,4.6,7.0,Không,Nhà mặt tiền,Không có,5.0,,3.0,"16.07795,108.16094",16.07795,108.16094,7.273354876889185,9.137567015951783
