Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
0, Hà Mục,Hòa Thọ Đông,cẩm lệ,5.15,100.0,Tây Nam,Nhà mặt tiền,Không có,5.0,20.0,4,"16.01918,108.19537"
1, Thi Sách,Hòa Thuận Tây,hải châu,4.1,85.0,Không,Nhà mặt tiền,Không có,,,1,"16.0546,108.20547"
2, Ông Ích Khiêm,Tam Thuận,thanh khê,11.0,67.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,3.8,,3,"16.06653,108.2142"
3, Núi Thành,Hòa Cường Bắc,hải châu,17.5,137.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,7.3,,3,"16.03194,108.22279"
4, Trương Văn Hiến,Khuê Mỹ,ngũ hành sơn,7.0,90.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,4,"16.01947,108.25592"
5, Nguyễn Văn Thoại,An Hải Đông,sơn trà,26.0,154.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,,2,"16.05747,108.24433"
6, Hóa Quê Trung,Hòa Cường Bắc,hải châu,5.4,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.2,19.0,2,"16.04329,108.21986"
7, Khuê Mỹ Đông 15,Mỹ An,ngũ hành sơn,13.5,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,,6,"16.03874,108.24676"
8, Dương Vân Nga,Nại Hiên Đông,sơn trà,14.4,130.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,20.0,,6,"16.09172,108.23162"
9, Lê Thanh Nghị,Hòa Cường Bắc,hải châu,15.75,120.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,1,"16.03029,108.21903"
10, Cao Bá Quát,An Hải Bắc,sơn trà,11.5,115.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.1,,3,"16.06433,108.23061"
