Address,Prices,Area,toFace,type,certificate,width,length,floors,road_front,Terrace,Parking
" Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng"," 2,85 tỷ ", 50 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"5,5m",---,2,3m,---,---
" Đường Bạch Đằng, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng", 79 tỷ , 170 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"6,5m",24m,2,15m,,
" Đường Nguyễn Huy Tưởng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 4,5 tỷ ", 170 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,7m,"27,5m",---,5m,,---
" Đường Huỳnh Ngọc Huệ, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 2,25 tỷ ", 76 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"6,3m",12m,2,3m,,
" Đường Hoàng Thị Loan, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,87 tỷ ", 65 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3,5m,,
" Đường Hà Mục, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 5,15 tỷ ", 100 m2,Tây Nam,Nhà mặt tiền,---,5m,20m,4,7m,---,---
" Đường Mân Quang 15, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"," 5,1 tỷ ", 75 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,3,"5,5m",,---
" Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 4,5 tỷ ", 70 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,14m,3,5m,,---
" Đường Phạm Nhữ Tăng, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 3,5 tỷ ", 60 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,15m,3,2m,,---
" Đường Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 16,8 tỷ ", 90 m2,_,Nhà mặt tiền,Giấy tờ hợp lệ,"5,2m",17m,2,10m,,
" Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 15,5 tỷ ", 125 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,25m,3,15m,,
" Đường Lê Cảnh Tuân, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 4,4 tỷ ", 87 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,3,"5,5m",,
" Đường Ngô Chi Lan, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 3,2 tỷ ", 61 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"3,5m",20m,---,"5,5m",---,
" Đường Lê Cơ, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 3,9 tỷ ", 68 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,13m,1,4m,,
