Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
 Hà Mục,Hòa Thọ Đông,cẩm lệ,-0.109934626,0.331876499,Tây Nam,Nhà mặt tiền,Không có,-0.384833433,0.532496153,4,"16.01918,108.19537"
 Thi Sách,Hòa Thuận Tây,hải châu,-0.504484782,0.010225425,Không,Nhà mặt tiền,Không có,1.214177071,-0.987466925,1,"16.0546,108.20547"
 Ông Ích Khiêm,Tam Thuận,thanh khê,0.974592877,-0.375755863,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,-0.839577452,0.198566614,3,"16.06653,108.2142"
 Núi Thành,Hòa Cường Bắc,hải châu,1.469697183,1.12528248,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,0.48675927,0.358669818,3,"16.03194,108.22279"
 Trương Văn Hiến,Khuê Mỹ,ngũ hành sơn,0.371614952,0.11744245,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.250511209,4,"16.01947,108.25592"
 Nguyễn Văn Thoại,An Hải Đông,sơn trà,1.804787755,1.489820363,Không,Nhà mặt tiền,Giấy tờ hợp lệ,0.373073266,0.814481098,2,"16.05747,108.24433"
 Hóa Quê Trung,Hòa Cường Bắc,hải châu,-0.031772946,0.331876499,Không,Nhà mặt tiền,Giấy tờ hợp lệ,-0.309042763,0.391503681,2,"16.04329,108.21986"
 Khuê Mỹ Đông 15,Mỹ An,ngũ hành sơn,1.207649766,0.546310548,Không,Nhà mặt tiền,Giấy tờ hợp lệ,-0.005880084,0.297508699,6,"16.03874,108.24676"
 Dương Vân Nga,Nại Hiên Đông,sơn trà,1.276194739,0.975178646,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.299466805,-1.370902222,6,"16.09172,108.23162"
 Lê Thanh Nghị,Hòa Cường Bắc,hải châu,1.367618995,0.760744597,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,1.096466042,1,"16.03029,108.21903"
 Cao Bá Quát,An Hải Bắc,sơn trà,1.02723191,0.653527572,Không,Nhà mặt tiền,Giấy tờ hợp lệ,0.410968601,-0.003672403,3,"16.06433,108.23061"
 Hoàng Thúc Trâm,Hải Châu I,hải châu,0.509237258,0.11744245,Không,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.250511209,3,"16.04274,108.21396"
 Chính Hữu,Phước Mỹ,sơn trà,0.918259272,1.189612695,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,1.660435931,1,"16.10449,108.26139"
 Châu Thị Vĩnh Tế,Mỹ An,ngũ hành sơn,1.122879687,0.331876499,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.532496153,1,"16.04978,108.24072"
 Tân Phú 1,Mân Thái,sơn trà,0.162896499,0.11744245,Không,Nhà mặt tiền,Không có,1.315466952,-0.949781256,2,"16.08457,108.24599"
 Thanh Vinh,Hòa Khánh Bắc,liên chiểu,-1.51885199,1.940131866,Không,Nhà mặt tiền,Giấy tờ hợp lệ,0.373073266,1.237458514,1,"16.07863,108.12345"
 Phan Văn Định,Hòa Khánh Bắc,liên chiểu,1.246556878,4.157914132,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,1.093084629,3.304820045,1,"16.08926,108.14696"
 Dương Khuê,Mỹ An,ngũ hành sơn,1.076552449,0.310433094,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.532496153,5,"15.98459,108.23607"
 An Thượng 38,Mỹ An,ngũ hành sơn,0.645995403,-0.525859697,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,-0.595443624,4,"16.04689,108.24197"
 Tiểu La,Hòa Cường Bắc,hải châu,-0.878105479,-0.675963532,Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,0.479221846,-1.2609126,2,"16.04649,108.22182"
 Hà Huy Tập,Hòa Khê,thanh khê,1.774792892,4.157914132,Không,Nhà mặt tiền,Không có,1.509933313,0.95547357,2,"16.0704,108.19171"
 Nguyễn Phan Vinh,Thọ Quang,sơn trà,-1.62251264,0.11744245,Không,Nhà trong hẻm,Không có,-0.384833433,0.250511209,2,"16.10053,108.25114"
 Mai Lão Bạng,Thuận Phước,hải châu,-0.691678415,-0.525859697,Không,Nhà trong hẻm,Giấy tờ hợp lệ,-0.384833433,-0.595443624,2,"16.08414,108.21865"
 Nước Mặn 1,Khuê Mỹ,ngũ hành sơn,1.283409275,2.154565915,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,1.509933313,0.321007445,4,"16.02157,108.25084"
 Ngô Chi Lan,Thuận Phước,hải châu,-0.965669613,-0.504416292,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,-0.953263456,0.532496153,2,"16.06903,108.21546"
 Chế Lan Viên,Mỹ An,ngũ hành sơn,0.306464744,0.181772664,Không,Nhà trong hẻm,Không có,1.374893576,-0.927671129,2,"16.04228,108.24575"
 14 An Hoà 1,Khuê Trung,cẩm lệ,0.225032482,0.396206713,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.602992389,3,"16.0188,108.21054"
 Đống Đa,Thuận Phước,hải châu,-0.339758339,-0.418642673,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,0.775619397,-1.150635639,2,"16.07503,108.21489"
 Phan Thanh,Thạc Gián,thanh khê,-0.965669613,-0.740293746,Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,0.400004651,-1.290385959,3,"16.06302,108.20878"
